source,platform_id,title,brand,model_number,price_usd,list_price_usd,rating,reviews_count,position,category,image_url,product_url,availability,recent_sales,is_bestseller,unit_price,collection,delivery_free,pickup_available,features,description,extract_date,sales_volume_numeric,product_type,volume_share
amazon,B01MRXOXWB,"BESTTEN 10 Pack Single Pole Decorator Light Switch with Wallplate, 15A 120/277V, Rocker Paddle Wall Switch, On/Off Interrupter for LED and Other Lamps, UL Listed, White",BESTTEN,,17.69,1.77,4.6,4487.0,3,Light Switches,https://m.media-amazon.com/images/I/61WNaSjLk6L._AC_UL320_.jpg,https://www.amazon.com/dp/B01MRXOXWB,,1K+ bought in past month,,1.77,,,,,,6/6/25,1000,Traditional,1.2492192379762648
amazon,B0C86MJLVH,"Leviton E5601-MW Decora Edge 15 Amp Single Pole Rocker Switch, 10-Pack, White",Leviton,,25.98,2.6,4.7,615.0,4,Light Switches,https://m.media-amazon.com/images/I/61aux1VABRL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C86MJLVH,,1K+ bought in past month,,2.6,,,,,,6/6/25,1000,Traditional,1.2492192379762648
amazon,B095X911T8,"Amazon Basics Smart Switch, Single Pole, Works with Alexa Only, 2.4 GHz Wi-Fi, No Hub Required, White",Amazon,,15.09,16.99,4.3,5959.0,1,Light Switches,https://m.media-amazon.com/images/I/618hX8ZtV-L._AC_UL320_.jpg,https://www.amazon.com/dp/B095X911T8,,1K+ bought in past month,,16.99,,,,,,6/6/25,1000,Smart,1.2492192379762648
amazon,B00NG0ELL0,"Leviton Decora Slide Dimmer Switch for Dimmable LED, Halogen and Incandescent Bulbs, DSL06-1LZ, White with Ivory and Light Almond Faceplates",Leviton,,24.95,27.24,4.6,1783.0,9,Dimmer Switches,https://m.media-amazon.com/images/I/816RLeEOoZL._AC_UL320_.jpg,https://www.amazon.com/dp/B00NG0ELL0,,1K+ bought in past month,,27.24,,,,,,6/6/25,1000,Traditional,1.2492192379762648
amazon,B000BQUUVC,"Legrand radiant TM873WCC10 15 Amp Rocker Wall Switch, 3-Way Decorator Light Switches, White (1 Count)",Legrand,,3.58,,4.7,7564.0,8,Light Switches,https://m.media-amazon.com/images/I/61ewxzUcSBL._AC_UL320_.jpg,https://www.amazon.com/dp/B000BQUUVC,,1K+ bought in past month,,3.58,,,,,,6/6/25,1000,Traditional,1.2492192379762648
amazon,B07S29S7QD,"BESTTEN 2 Pack Dimmer Light Switch, Universal Lighting Control, Single Pole or 3 Way, Compatible with LED Dimmable Lamp, CFL, Incandescent, Halogen Bulb, Decorator Wallplate Included, UL Listed, White",BESTTEN,,16.99,8.5,4.2,6009.0,6,Dimmer Switches,https://m.media-amazon.com/images/I/514RmEOs7QL._AC_UL320_.jpg,https://www.amazon.com/dp/B07S29S7QD,,1K+ bought in past month,,8.5,,,,,,6/6/25,1000,Traditional,1.2492192379762648
amazon,B0D3KP68S7,"Kasa Smart Switch 2-Gang HS200-2, Single Pole,Neutral Wire Required, 2.4GHz Wi-Fi Light Switch Compatible with Alexa and Google Home, UL Certified, No Hub Required, White",Kasa,,31.99,34.99,4.4,555.0,7,Light Switches,https://m.media-amazon.com/images/I/61VngqZKsTL._AC_UL320_.jpg,https://www.amazon.com/dp/B0D3KP68S7,,1K+ bought in past month,,34.99,,,,,,6/6/25,1000,Smart,1.2492192379762648
amazon,B07HM6L48C,"Lutron Caseta 3 Way Smart Dimmer Switch Kit, w/ Wireless 3 way Pico Remote and Bracket, Light Switch for LED Lights, No Neutral Required, P-PKG1WB-WH",Lutron,,69.95,,4.7,7912.0,18,Light Switches,https://m.media-amazon.com/images/I/71GsI+LMUbL._AC_UL320_.jpg,https://www.amazon.com/dp/B07HM6L48C,,1K+ bought in past month,,69.95,,,,,,6/6/25,1000,Smart,1.2492192379762648
amazon,B00QXOSTFU,"ENERLITES Decorator Paddle Rocker Light Switch, Gloss Finish, Single Pole, 3 Wire, Grounding Screw, Residential Grade, 15A 120V/277V, UL Listed, 91150-W-10PCS, White (10 Pack)",ENERLITES Store,,17.99,1.8,4.7,7393.0,9,Light Switches,https://m.media-amazon.com/images/I/81UColMbW6L._AC_UL320_.jpg,https://www.amazon.com/dp/B00QXOSTFU,,900+ bought in past month,,1.8,,,,,,6/6/25,900,Traditional,1.1242973141786383
amazon,B0D3TBK88B,"Amico 6 Pack Dimmer Light Switch, Single-Pole or 3-Way Slide Dimmer Switches for Led Lights, Suitable for 150W Dimmable LED/CFL Lights and 600W Incandescent/Halogen, Wall Plate Included, White",GE,,44.99,7.5,4.2,152.0,7,Dimmer Switches,https://m.media-amazon.com/images/I/61thoah1DVL._AC_UL320_.jpg,https://www.amazon.com/dp/B0D3TBK88B,,900+ bought in past month,,7.5,,,,,,6/6/25,900,Traditional,1.1242973141786383
amazon,B07HPBP5Q2,"ENERLITES Toggle Light Switch, Single Pole, 15A 120-277V, Grounding Screw, Residential Grade, UL Listed, 88115-W-10PCS, White (10 Pack), 10 Count",ENERLITES Store,,15.99,1.6,4.6,1477.0,11,Light Switches,https://m.media-amazon.com/images/I/81aYKW5s2GL._AC_UL320_.jpg,https://www.amazon.com/dp/B07HPBP5Q2,,800+ bought in past month,,1.6,,,,,,6/6/25,800,Traditional,0.9993753903810119
amazon,B0D7GR3CKW,"MOES Dimmer Light Switch, 3 Way & Single Pole Dimmable for LED, CFL, Incandescent, Halogen, 600Watt Max, ON/Off with Dimming Slide for Bedroom Hallway, No Neutral Wire Required",MOES,,11.99,12.99,4.5,112.0,21,Dimmer Switches,https://m.media-amazon.com/images/I/51-yuS5vrWL._AC_UL320_.jpg,https://www.amazon.com/dp/B0D7GR3CKW,,600+ bought in past month,,12.99,,,,,,6/6/25,600,Traditional,0.749531542785759
amazon,B08PKMT2DV,"Philips Hue Smart Wireless Dimmer Switch V2 (Installation-Free, Exclusive Philips Hue Lights) for Indoor Home Lighting, Livingroom, Bedroom",Philips Hue,,31.0,,4.7,12567.0,11,Dimmer Switches,https://m.media-amazon.com/images/I/51HHVsvXi7L._AC_UL320_.jpg,https://www.amazon.com/dp/B08PKMT2DV,,600+ bought in past month,,31.0,,,,,,6/6/25,600,Smart,0.749531542785759
