source,platform_id,title,brand,model_number,price_usd,list_price_usd,rating,reviews_count,position,category,image_url,product_url,availability,recent_sales,is_bestseller,unit_price,collection,delivery_free,pickup_available,features,description,extract_date
amazon,B006UTQCA2,"Lutron Ariadni/Toggler LED+ Dimmer Light Switch for Dimmable LED, Halogen and Incandescent Dimmer Switch, 150W, Single-Pole/3-Way, AYCL-153P-WH, White",Lutron,,19.47,25,4.6,6806,11,Dimmer Switches,https://m.media-amazon.com/images/I/71IqSkJGLgL._AC_UL320_.jpg,https://www.amazon.com/dp/B006UTQCA2,,2K+ bought in past month,,,,,,,,6/6/25
amazon,B08RRM8VH5,"Leviton Decora Smart Dimmer Switch, Wi-Fi 2nd Gen, Neutral Wire Required, Works with Matter, My Leviton, Alexa, Google Assistant, Apple Home/Siri & Wired or Wire-Free 3-Way, D26HD-2RW, White",Leviton,,38.96,,4.5,1429,12,Dimmer Switches,https://m.media-amazon.com/images/I/518um+gOwGL._AC_UL320_.jpg,https://www.amazon.com/dp/B08RRM8VH5,,500+ bought in past month,,,,,,,,6/6/25
amazon,B085D8M2MR,"Lutron Diva LED+ Dimmer Switch for Dimmable LED, Halogen and Incandescent Bulbs, Single-Pole or 3-Way, DVCL-153P-WH, White (2-Pack)",Lutron,,56.76,28.38,4.6,11432,13,Dimmer Switches,https://m.media-amazon.com/images/I/71eIPBeQhxL._AC_UL320_.jpg,https://www.amazon.com/dp/B085D8M2MR,,300+ bought in past month,,$28.38$28.38/count,,,,,,6/6/25
amazon,B0BTMWZH3K,"Kasa Apple HomeKit Smart Dimmer Switch KS220P3, Single Pole, Neutral Wire Required,2.4GHz Wi-Fi Light Works with Siri, Alexa and Google Home,UL Certified, No Hub Required,White, 3 Count (Pack of 1)",Kasa,,62.99,21,4.4,879,14,Dimmer Switches,https://m.media-amazon.com/images/I/61dm2xn-+UL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BTMWZH3K,,500+ bought in past month,,$21.00$21.00/count,,,,,,6/6/25
amazon,B073H9Y7SH,"Leviton Trimatron Rotary Dimmer Switch for Dimmable LED, Halogen and Incandescent Bulbs, RNL06-10Z, White",Leviton,,11.99,17.06,4.5,919,15,Dimmer Switches,https://m.media-amazon.com/images/I/71L+jgi7i+L._AC_UL320_.jpg,https://www.amazon.com/dp/B073H9Y7SH,,500+ bought in past month,,,,,,,,6/6/25
amazon,B07GNXMVFP,"BESTTEN 6 Pack Dimmer Light Switch, LED Dimmer Switch, Single-Pole or 3-Way, for Dimmable LED, Halogen and Incandescent Bulbs, 120V, Wall Plate Included, UL Listed, White",BESTTEN,,39.99,6.67,4.2,911,16,Dimmer Switches,https://m.media-amazon.com/images/I/619PeFE4sDL._AC_UL320_.jpg,https://www.amazon.com/dp/B07GNXMVFP,,400+ bought in past month,,$6.67$6.67/count,,,,,,6/6/25
amazon,B002DNAG4W,"GE Single Pole Dimmer Toggle Switch, On/Off/Dim Settings, for Dimmable LED, CFL and Incandescent Bulbs, DIY Project, UL Listed, White, 18025",GE,,15.32,,4.4,4866,17,Dimmer Switches,https://m.media-amazon.com/images/I/810DttibQOL._AC_UL320_.jpg,https://www.amazon.com/dp/B002DNAG4W,,500+ bought in past month,,,,,,,,6/6/25
amazon,B0C7LTX71C,"Lutron Diva Smart Dimmer Switch for Caseta Smart Lighting (Lutron Smart Hub Required), for LED Lights, 150 Watt, Single-Pole/3Way, No Neutral Required, DVRF-6LS-WH-9, White, 9 Pack",Lutron,,629.55,69.95,4.7,506,18,Dimmer Switches,https://m.media-amazon.com/images/I/71fPGbtx4SL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C7LTX71C,,50+ bought in past month,,$69.95$69.95/count,,,,,,6/6/25
amazon,B0771BC2YH,"Cloudy Bay in Wall Dimmer Switch for LED Light/CFL/Incandescent,3-Way Single Pole Dimmable Slide,600 Watt max,Cover Plate Included",Cloudy Bay,,12.99,,4.4,9109,19,Dimmer Switches,https://m.media-amazon.com/images/I/51CdpRAl+bL._AC_UL320_.jpg,https://www.amazon.com/dp/B0771BC2YH,,500+ bought in past month,,,,,,,,6/6/25
amazon,B0DRZ77JQT,"TP-Link Tapo Matter Smart Dimmer Switch, Single Pole, Neutral Wiring & 2.4 GHz WiFi Required, Compatible with Alexa, Siri, Google Home, Bixby, UL Certified Light Switch, (4-Pack)",TP-Link,,65.99,16.5,4.3,821,20,Dimmer Switches,https://m.media-amazon.com/images/I/61JdlGZg2gL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DRZ77JQT,,500+ bought in past month,,$16.50$16.50/count,,,,,,6/6/25
amazon,B0D7GR3CKW,"MOES Dimmer Light Switch, 3 Way & Single Pole Dimmable for LED, CFL, Incandescent, Halogen, 600Watt Max, ON/Off with Dimming Slide for Bedroom Hallway, No Neutral Wire Required",MOES,,11.99,12.99,4.5,112,21,Dimmer Switches,https://m.media-amazon.com/images/I/51-yuS5vrWL._AC_UL320_.jpg,https://www.amazon.com/dp/B0D7GR3CKW,,600+ bought in past month,,,,,,,,6/6/25
amazon,B00A92MQ38,"Lutron Skylark LED+ Dimmer Switch for Dimmable LED, Halogen and Incandescent Bulbs | 150W/Single-Pole or 3-Way | SCL-153P-WH | White",Lutron,,23.28,25.97,4.6,3459,22,Dimmer Switches,https://m.media-amazon.com/images/I/61s4MIaWiGS._AC_UL320_.jpg,https://www.amazon.com/dp/B00A92MQ38,,500+ bought in past month,,,,,,,,6/6/25
amazon,B08JSC41JZ,"BESTTEN 6 Pack Super Slim Dimmer Switch, Single Pole or 3-Way, Dimmable Light Switch for LED, CFL, Halogen and Incandescent Bulbs, ETL Listed, White",BESTTEN,,53.99,9,4.3,175,23,Dimmer Switches,https://m.media-amazon.com/images/I/71jRLsMslvL._AC_UL320_.jpg,https://www.amazon.com/dp/B08JSC41JZ,,50+ bought in past month,,$9.00$9.00/count,,,,,,6/6/25
amazon,B0D7BTM5LP,"ELEGRP Digital Dimmer Light Switch for 300W Dimmable LED/CFL and 600W Incandescent/Halogen, LED Slide Dimmer Light Switch, Single Pole/3-Way, Wall Plate Included, Matte White, UL Listed, 10 Pack",ELEGRP,,88.99,8.9,4.4,40,24,Dimmer Switches,https://m.media-amazon.com/images/I/61tGPPceXAL._AC_UL320_.jpg,https://www.amazon.com/dp/B0D7BTM5LP,,100+ bought in past month,,$8.90$8.90/count,,,,,,6/6/25
amazon,B00SFGNO54,GE Rocker Dimmer Switch Rocker On/Off Light Switch Dimmer Switches for LED Lights Single Pole Energy Saving UL Listed White 10464,GE,,14.99,,4.4,2929,25,Dimmer Switches,https://m.media-amazon.com/images/I/81jFINOPoUL._AC_UL320_.jpg,https://www.amazon.com/dp/B00SFGNO54,,100+ bought in past month,,,,,,,,6/6/25
amazon,B0DWJHD9G1,"BESTTEN 10 Pack Super Slim Slide Dimmer Light Switch, Quiet Dimmer Switch, Single Pole or 3 Way Dimmable Switch, Max 300W LED, CFL, 600W Incandescent, Wall Plate Included, ETL Listed, White",BESTTEN,,77.99,7.8,4.8,9,1,Dimmer Switches,https://m.media-amazon.com/images/I/613FiaTEfPL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DWJHD9G1,Only 18 left in stock - order soon.,,,$7.80$7.80/count,,,,,,6/6/25
amazon,B0DXJNJDSH,"TREATLIFE Dimmer Switch with Magnetic Remote, Wireless Light Switch, Single Pole Dimmer Light Switch, Neutral Wire Required, Works with Dimmable LED/CFL/INC, 400W Max",TREATLIFE,,29.99,,4.7,19,2,Dimmer Switches,https://m.media-amazon.com/images/I/51NyEEMxnPL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DXJNJDSH,,,,,,,,,,6/6/25
amazon,B07VG9XY46,"Legrand Pass & Seymour TSDCL303PTCCCV6 Toggle Slide Dimmer CFL/LED/Incandescent, Single-Pole/3-Way, 300W, No De-Rating, White/Light Almond, Ivory (1 Count)",Legrand,,47.44,,4.2,48,3,Dimmer Switches,https://m.media-amazon.com/images/I/81UKD64DfhL._AC_UL320_.jpg,https://www.amazon.com/dp/B07VG9XY46,,,,,,,,,,6/6/25
amazon,B0B12HQ8LM,"TOPGREENER Digital Dimmer Light Switch for 200W Dimmable LED/CFL Lights, Single Pole Led Slide Dimmer Switch, Neutral Wire Not Required, Wall Plate Included, UL Listed, TGDS1-W-6PCS, White,6 Pack",TOPGREENER Store,,54.99,9.17,4.2,769,4,Dimmer Switches,https://m.media-amazon.com/images/I/61tyKsJTZTL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B12HQ8LM,,,,$9.17$9.17/count,,,,,,6/6/25
amazon,B07WFLTZDK,"ELEGRP Slide Dimmer Switch for Dimmable LED, CFL and Incandescent Light Lamp Bulbs, Single Pole or 3-Way, Full Control with Preset, Rocker Paddle, Wall Plate Included, UL Listed (2 Pack, Matte Black)",ELEGRP,,24.99,6.25,4.2,1422,5,Dimmer Switches,https://m.media-amazon.com/images/I/51BgNrtfq3L._AC_UL320_.jpg,https://www.amazon.com/dp/B07WFLTZDK,,50+ bought in past month,,$6.25$6.25/count,,,,,,6/6/25
amazon,B0897GH1CD,"Cloudy Bay in Wall Dimmer Switch with Green Indicator,for LED Light/CFL/Incandescent, Single Pole &3-Way Dimmable Slide,600 Watt max,Cover Plate Included,White,UL Listed",Cloudy Bay,,15.14,,4.2,1941,6,Dimmer Switches,https://m.media-amazon.com/images/I/51QRU4Og+YL._AC_UL320_.jpg,https://www.amazon.com/dp/B0897GH1CD,,,,,,,,,,6/6/25
amazon,B073H9Y7SF,"Leviton Trimatron Rotary Dimmer Switch for Dimmable LED, Halogen and Incandescent Bulbs, RDL06-10Z, White",Leviton,,17.99,,4.6,146,7,Dimmer Switches,https://m.media-amazon.com/images/I/71lecvcgHVL._AC_UL320_.jpg,https://www.amazon.com/dp/B073H9Y7SF,,50+ bought in past month,,,,,,,,6/6/25
amazon,B0DKGXY4DL,"TP-Link Tapo Smart 3 Way Dimmer Switch KIT, Matter Compatible, Energy Monitoring, Neutral Wire Required, Works with Alexa, Siri, Google Home, SmartThings, UL Certified, 2.4GHZ Wi-Fi, Tapo S515D KIT",TP-Link,,43.99,22,4.6,111,8,Dimmer Switches,https://m.media-amazon.com/images/I/511KltQn-WL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DKGXY4DL,,500+ bought in past month,,$22.00$22.00/count,,,,,,6/6/25
amazon,B09482M85Y,"Zooz 800 Series Z-Wave Long Range Dimmer Switch ZEN72 800LR, White | Direct 3-Way (No Add-On Switch Needed) | Z-Wave Hub Required",GE,,42.95,,4.5,621,9,Dimmer Switches,https://m.media-amazon.com/images/I/5187zQEFF7L._AC_UL320_.jpg,https://www.amazon.com/dp/B09482M85Y,,100+ bought in past month,,,,,,,,6/6/25
amazon,B0006V5PXK,"Lutron Maestro Companion Multi-Location Dimmer Not for Standalone Use MA-R-WH, White",Lutron,,18.95,21.27,4.5,1230,10,Dimmer Switches,https://m.media-amazon.com/images/I/61uuWbdz-dL._AC_UL320_.jpg,https://www.amazon.com/dp/B0006V5PXK,,300+ bought in past month,,,,,,,,6/6/25
